,Name,Link
158,3-Axis Machining with Autodesk Fusion 360 (Autodesk),https://coursera.org/learn/3-axis-machining-autodesk-fusion-360
159,3. つなぎ、守る：ネットワークとネットワーク セキュリティ (Google),https://coursera.org/learn/networks-and-network-security-jp
160,3. 探索用データを準備する (Google),https://coursera.org/learn/data-preparation-japanese
161,3.- El Cálculo - Modelo Cúbico (Tecnológico de Monterrey),https://coursera.org/learn/calculo-3
162,3D CAD Application (National Taiwan University),https://coursera.org/learn/3d-cad-application
163,3D CAD Fundamental (National Taiwan University),https://coursera.org/learn/3d-cad-fundamental
164,3D Data Visualization for Science Communication (University of Illinois at Urbana-Champaign),https://coursera.org/learn/data-visualization-science-communication
165,3D Graphics in Android: Sensors and VR (Imperial College London),https://coursera.org/learn/3d-graphics-android-sensors-vr
166,"3D Interaction Design in Virtual Reality (University of London, Goldsmiths, University of London)",https://coursera.org/learn/3d-interaction-design-virtual-reality
167,3D Model Creation with Autodesk Fusion 360 (Autodesk),https://coursera.org/learn/3d-model-creation-fusion-360
168,"3D Models for Virtual Reality (University of London, Goldsmiths, University of London)",https://coursera.org/learn/3d-models-virtual-reality
169,3D Printing Applications (University of Illinois at Urbana-Champaign),https://coursera.org/learn/3d-printing-applications
170,3D Printing Capstone (University of Illinois at Urbana-Champaign),https://coursera.org/learn/3d-printing-capstone
171,3D Printing Hardware (University of Illinois at Urbana-Champaign),https://coursera.org/learn/3d-print-hardware
172,مهارات التفكير الجانبي  | Lateral Thinking Skills (Alfaisal University | KLD),https://coursera.org/learn/lateral-thinking-skills
173,مهارات تسوية النزاعات | Conflict Resolution Skills (Alfaisal University | KLD),https://coursera.org/learn/conflict-resolution-skills-
174,一堂課讓你認識肺癌（Basic Concepts of Lung Cancer: Diagnosis and Treatment） (National Taiwan University),https://coursera.org/learn/lung-cancer
175,3D Printing Software (University of Illinois at Urbana-Champaign),https://coursera.org/learn/3d-printing-software
176,3D Printing Technology Deep Dive and Use Cases (Arizona State University),https://coursera.org/learn/3d-printing-technology-deep-dive-and-use-cases
177,3D Reconstruction - Multiple Viewpoints (Columbia University),https://coursera.org/learn/3d-reconstruction-multiple-viewpoints
178,3D Reconstruction - Single Viewpoint (Columbia University),https://coursera.org/learn/3d-reconstruction---single-viewpoint
179,3D SARS-CoV-19 Protein Visualization With Biopython (Coursera Project Network),https://coursera.org/learn/3d-sars-cov-19-protein-visualization-with-biopython
180,4. ツールを使いこなす：Linux と SQL (Google),https://coursera.org/learn/linux-and-sql-jp
181,4.- El Cálculo - Otros Modelos (Tecnológico de Monterrey),https://coursera.org/learn/calculo-4
182,4.「ダーティー」なデータを「クリーン」にする (Google),https://coursera.org/learn/process-data-japanese
183,4G : Principes des réseaux mobiles (Institut Mines-Télécom),https://coursera.org/learn/4g-principes-des-reseaux-mobiles
184,4G Network Fundamentals (Institut Mines-Télécom),https://coursera.org/learn/4g-network-fundamentals
185,5 .データを分析し、答えを導き出す (Google),https://coursera.org/learn/analyze-data-japanese
186,5 Metodos para Optimizar su Perfil de LinkedIn (Coursera Project Network),https://coursera.org/learn/5-metodos-optimizar-perfil-linkedin
187,5 Ways to Build a Better LinkedIn Profile (Coursera Project Network),https://coursera.org/learn/5-ways-build-better-linkedin-profile
188,5. アセット、脅威、そして脆弱性 (Google),https://coursera.org/learn/assets-threats-and-vulnerabilities-jp
189,5G : Principes de fonctionnement (Institut Mines-Télécom),https://coursera.org/learn/5g-principes-de-fonctionnement
190,5G Network Fundamentals (Institut Mines-Télécom),https://coursera.org/learn/5g-network-fundamentals
191,5G for Everyone (Qualcomm Wireless Academy),https://coursera.org/learn/5g-training-qualcomm
192,6. データ可視化（ビジュアライゼーション）による、データの共有 (Google),https://coursera.org/learn/visualize-data-japanese
193,6. 警告を発する： 検知と対応 (Google),https://coursera.org/learn/detection-and-response-jp
194,7. Python を使ったサイバーセキュリティ タスクの自動化 （近日公開予定） (Google),https://coursera.org/learn/automate-cybersecurity-tasks-with-python-jp
195,7. データ分析とR 言語 (Google),https://coursera.org/learn/data-analysis-r-japanese
196,8. 学びの総仕上げとしての最終課題：ケーススタディ (Google),https://coursera.org/learn/google-data-analytics-capstone-japanese
197,8. 実践編：サイバーセキュリティ関連の職に就く準備 （近日公開予定） (Google),https://coursera.org/learn/prepare-for-cybersecurity-jobs-jp
198,A Blueprint for Success – Your Video Pre-Production (University of Colorado Boulder),https://coursera.org/learn/a-blueprint-for-success-your-video-pre-production
199,A Bridge to the World: Korean Language for Advanced Ⅰ (Sungkyunkwan University),https://coursera.org/learn/korean-advanced1
200,A Bridge to the World: Korean Language for Beginners Ⅰ (Sungkyunkwan University),https://coursera.org/learn/korean-beginners
201,A Bridge to the World: Korean Language for Intermediate1 (Sungkyunkwan University),https://coursera.org/learn/korean-language-intermediate
202,A Brief History of Human Spaceflight (University of Houston),https://coursera.org/learn/human-spaceflight
203,A Business Approach to Sustainable Landscape Restoration (Erasmus University Rotterdam),https://coursera.org/learn/landscape-restoration-sustainable-development
204,A Circular Economy of Metals: Towards a Sustainable Societal Metabolism (Universiteit Leiden),https://coursera.org/learn/circular-economy-metals
205,"A Complete Reinforcement Learning System (Capstone) (University of Alberta, Alberta Machine Intelligence Institute)",https://coursera.org/learn/complete-reinforcement-learning-system
206,A Comprehensive Excel Masterclass (Illinois Tech),https://coursera.org/learn/illinois-tech-a-comprehensive-excel-masterclass-unleashing-business-potential
207,"A Consultative Approach to Working with Recruiters (Automatic Data Processing, Inc. (ADP))",https://coursera.org/learn/airs-consultative-approach-working-with-recruiters
208,A Crash Course in Causality:  Inferring Causal Effects from Observational Data (University of Pennsylvania),https://coursera.org/learn/crash-course-in-causality
209,A Crash Course in Data Science (Johns Hopkins University),https://coursera.org/learn/data-science-course
210,A General Approach to Risk Management (University System of Georgia),https://coursera.org/learn/a-general-approach-to-risk-management
211,A Geometrical Approach to Genome Analysis: Skew & Z-Curve (Coursera Project Network),https://coursera.org/learn/genome-analysis-z-curve
212,"A Guide to Diversifying and Transforming Football Leadership (Erasmus University Rotterdam, Fare Network)",https://coursera.org/learn/diversifying-transforming-football-leadership
213,A Guide to Healthcare Innovation: Principles and Practice (Imperial College London),https://coursera.org/learn/guide-to-healthcare-innovation-principles-and-practice
214,A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) (Yale University),https://coursera.org/learn/western-christianity-200-1650
215,A Law Student's Toolkit (Yale University),https://coursera.org/learn/law-student
216,A Life of Happiness and Fulfillment (Indian School of Business),https://coursera.org/learn/happiness
217,A New Communication Framework for Healthcare (University of California San Diego),https://coursera.org/learn/a-new-communication-framework-for-healthcare
218,A Organização Centrada na Jornada do Cliente (Fundação Instituto de Administração),https://coursera.org/learn/a-organizacao-centrada-na-jornada-do-cliente
219,A Practical Introduction to Test-Driven Development (LearnQuest),https://coursera.org/learn/a-practical-introduction-to-test-driven-development
220,A Public Health Approach to Hearing Loss and Aging (Johns Hopkins University),https://coursera.org/learn/a-public-health-approach-to-hearing-loss-and-aging
221,A Scientific Approach to Innovation Management (Università Bocconi),https://coursera.org/learn/scientific-approach-innovation-management
222,A Second Brain with Obsidian (Coursera Project Network),https://coursera.org/learn/obsidian
223,A Simple Picture Storing App with Java and Android Studio (Coursera Project Network),https://coursera.org/learn/a-simple-picture-storing-app-with-java-and-android-studio
224,A Simple Scatter Plot using D3 js (Coursera Project Network),https://coursera.org/learn/a-simple-scatter-plot-using-d3-js
225,A Start Guide: Product Marketing Using G Suite (Coursera Project Network),https://coursera.org/learn/product-marketing-using-gsuite
226,"A Strategic Approach to Cybersecurity (University of Maryland, College Park)",https://coursera.org/learn/a-strategic-approach-to-cybersecurity
227,A Technical Leader's Qualities and Effectiveness (University of Colorado Boulder),https://coursera.org/learn/a-technical-leaders-qualities-and-effectiveness
228,A Theoretical Origin of Ethics in Business and Tech Industry (University of Colorado Boulder),https://coursera.org/learn/a-theoretical-origin-of-ethics-in-business-and-tech-industry
229,A Tour of Firebase (Google Cloud),https://coursera.org/learn/googlecloud-a-tour-of-firebase-wow1v
230,A Tour of Google Cloud Hands-on Labs (Google Cloud),https://coursera.org/learn/googlecloud-a-tour-of-google-cloud-hands-on-labs-5s3nf
231,A Tour of Google Cloud Sustainability (Google Cloud),https://coursera.org/learn/googlecloud-a-tour-of-google-cloud-sustainability-lbg3j
232,A Voice of Their Own. Women's Spirituality in the Middle Ages. (Universitat de Barcelona),https://coursera.org/learn/womens-spirituality
233,A complexidade sensível: Um paralelo entre videogames e arte (Universidade Estadual de Campinas),https://coursera.org/learn/videogames
234,A la recherche du Grand Paris (Sciences Po),https://coursera.org/learn/grand-paris-metropole
235,A life with ADHD (University of Geneva),https://coursera.org/learn/life-with-adhd
236,A l’avènement du christianisme : l’archéologie des derniers païens (University of Geneva),https://coursera.org/learn/archeology
